State,Year,Degree,Count
Arizona,1984,Undergraduate,4
Arizona,1984,Professional,0
Arizona,1984,Graduate,11
Arizona,1983,Undergraduate,3
Arizona,1983,Professional,0
Arizona,1983,Graduate,8
Arizona,1982,Undergraduate,4
Arizona,1982,Professional,0
Arizona,1982,Graduate,8
Arizona,1981,Undergraduate,4
Arizona,1981,Professional,0
Arizona,1981,Graduate,8
Arizona,1980,Undergraduate,4
Arizona,1980,Professional,0
Arizona,1980,Graduate,7
Arizona,1979,Undergraduate,3
Arizona,1979,Professional,0
Arizona,1979,Graduate,10
Arizona,1978,Undergraduate,4
Arizona,1978,Professional,0
Arizona,1978,Graduate,13
Arizona,1977,Undergraduate,3
Arizona,1977,Professional,1
Arizona,1977,Graduate,18
Arizona,1976,Undergraduate,1
Arizona,1976,Professional,1
Arizona,1976,Graduate,16
Arizona,1975,Undergraduate,3
Arizona,1975,Professional,0
Arizona,1975,Graduate,10
Arkansas,2017,Undergraduate,6
Arkansas,2017,Professional,14
Arkansas,2017,Graduate,2
Arkansas,2016,Undergraduate,10
Arkansas,2016,Professional,13
Arkansas,2016,Graduate,1
Arkansas,2015,Undergraduate,9
Arkansas,2015,Professional,12
Arkansas,2015,Graduate,1
Arkansas,2014,Undergraduate,10
Arkansas,2014,Professional,8
Arkansas,2014,Graduate,1
Arkansas,2013,Undergraduate,12
Arkansas,2013,Professional,10
Arkansas,2013,Graduate,2
Arkansas,2012,Undergraduate,10
Arkansas,2012,Professional,12
Arkansas,2012,Graduate,2
Arkansas,2011,Undergraduate,10
Arkansas,2011,Professional,9
Arkansas,2011,Graduate,2
Arkansas,2010,Undergraduate,8
Arkansas,2010,Professional,6
Arkansas,2010,Graduate,2
Arkansas,2009,Undergraduate,8
Arkansas,2009,Professional,6
Arkansas,2009,Graduate,2
Arkansas,2008,Undergraduate,3
Arkansas,2008,Professional,10
Arkansas,2008,Graduate,2
Arkansas,2007,Undergraduate,8
Arkansas,2007,Professional,12
Arkansas,2007,Graduate,2
Arkansas,2006,Undergraduate,9
Arkansas,2006,Professional,11
Arkansas,2006,Graduate,0
Arkansas,2005,Undergraduate,13
Arkansas,2005,Professional,10
Arkansas,2005,Graduate,0
Arkansas,2004,Undergraduate,17
Arkansas,2004,Professional,6
Arkansas,2004,Graduate,0
Arkansas,2003,Undergraduate,14
Arkansas,2003,Professional,20
Arkansas,2003,Graduate,0
Arkansas,2002,Undergraduate,11
Arkansas,2002,Professional,16
Arkansas,2002,Graduate,1
Arkansas,2001,Undergraduate,8
Arkansas,2001,Professional,16
Arkansas,2001,Graduate,1
Arkansas,2000,Undergraduate,11
Arkansas,2000,Professional,19
Arkansas,2000,Graduate,3
Arkansas,1999,Undergraduate,14
Arkansas,1999,Professional,23
Arkansas,1999,Graduate,2
Arkansas,1998,Undergraduate,14
Arkansas,1998,Professional,18
Arkansas,1998,Graduate,2
Arkansas,1997,Undergraduate,15
Arkansas,1997,Professional,2
Arkansas,1997,Graduate,14
Arkansas,1996,Undergraduate,10
Arkansas,1996,Professional,0
Arkansas,1996,Graduate,11
Arkansas,1995,Undergraduate,6
Arkansas,1995,Professional,0
Arkansas,1995,Graduate,12
Arkansas,1994,Undergraduate,4
Arkansas,1994,Professional,0
Arkansas,1994,Graduate,NA
Arkansas,1993,Undergraduate,5
Arkansas,1993,Professional,1
Arkansas,1993,Graduate,7
Arkansas,1992,Undergraduate,5
Arkansas,1992,Professional,2
Arkansas,1992,Graduate,9
Arkansas,1991,Undergraduate,4
Arkansas,1991,Professional,3
Arkansas,1991,Graduate,6
Arkansas,1990,Undergraduate,8
Arkansas,1990,Professional,0
Arkansas,1990,Graduate,6
Arkansas,1989,Undergraduate,5
Arkansas,1989,Professional,1
Arkansas,1989,Graduate,6
